City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-11-08 23:03:00,-46.6,168.3333,56.19,79,100,22.75
1,Tuktoyaktuk,CA,2022-11-08 22:58:37,69.4541,-133.0374,15.8,73,75,11.5
2,Nalut,LY,2022-11-08 23:03:00,30.3333,10.85,60.62,35,0,8.16
3,Huarmey,PE,2022-11-08 23:03:01,-10.0681,-78.1522,65.86,81,15,8.08
4,Natal,BR,2022-11-08 23:00:15,-5.795,-35.2094,79.45,83,0,10.36
5,Berlevag,NO,2022-11-08 23:03:02,70.8578,29.0864,35.55,87,100,4.61
6,Salalah,OM,2022-11-08 23:03:02,17.0151,54.0924,77.09,78,20,2.3
7,Bredasdorp,ZA,2022-11-08 22:58:39,-34.5322,20.0403,58.23,76,92,7.05
8,Ahuimanu,US,2022-11-08 23:03:03,21.4447,-157.8378,83.86,64,75,14.97
9,Rikitea,PF,2022-11-08 22:58:42,-23.1203,-134.9692,75.63,88,91,14.03
10,Ushuaia,AR,2022-11-08 23:03:03,-54.8,-68.3,47.86,57,40,10.36
11,Busselton,AU,2022-11-08 23:03:03,-33.65,115.3333,60.67,76,76,4.72
12,Hobart,AU,2022-11-08 23:00:03,-42.8794,147.3294,70.05,61,0,1.14
13,Bethel,US,2022-11-08 22:58:40,41.3712,-73.414,50.94,41,0,1.99
14,Fortuna,US,2022-11-08 23:02:09,40.5982,-124.1573,49.66,89,100,5.75
15,Lebu,CL,2022-11-08 23:03:04,-37.6167,-73.65,57.16,85,90,7.61
16,Airai,TL,2022-11-08 22:59:32,-8.9266,125.4092,66.87,69,68,1.14
17,Barrow,US,2022-11-08 23:00:06,71.2906,-156.7887,25.66,82,65,16.46
18,Ponta Do Sol,PT,2022-11-08 23:03:04,32.6667,-17.1,70.72,83,78,7.94
19,Vallenar,CL,2022-11-08 23:01:56,-28.5708,-70.7581,68.25,54,99,5.08
20,Georgetown,MY,2022-11-08 23:02:56,5.4112,100.3354,78.89,91,20,2.3
21,New Norfolk,AU,2022-11-08 23:03:05,-42.7826,147.0587,69.71,53,93,1.99
22,Dikson,RU,2022-11-08 23:02:03,73.5069,80.5464,4.44,96,94,5.73
23,Yar-Sale,RU,2022-11-08 23:03:06,66.8333,70.8333,12.15,95,100,6.96
24,Asasa,ET,2022-11-08 23:03:06,7.1,39.2,50.99,87,94,1.95
25,Caravelas,BR,2022-11-08 23:03:07,-17.7125,-39.2481,71.82,77,100,6.78
